archivo_origen,anio,tipo_violencia_archivo,usuario,fecha,anio_publicacion,anio_mencionado,texto_original,texto_limpio,tipo_contenido,nivel_confianza,lugar_detectado,municipio_alcaldia,estado,nivel_ubicacion,violencia_mujer,es_basura,motivo_basura
violenciapsicologica2025.txt,2025,violencia psicológica,@UdeGuanajuato,"Dec 4, 2025",2025,2025,"Universidad de Guanajuato
@UdeGuanajuato
·
Dec 4, 2025
💜 La violencia psicológica también es violencia.
Aislamiento, control, desvalorización o daño emocional no son normales.
En México, 63 de cada 100 mujeres han vivido algún tipo de violencia; la más frecuente es la psicológica.",universidad de guanajuato dec 4 2025 la violencia psicologica tambien es violencia aislamiento control desvalorizacion o dano emocional no son normales en mexico 63 de cada 100 mujeres han vivido algun tipo de violencia la mas frecuente es la psicologica,estadistica,0.9,guanajuato,Guanajuato,Guanajuato,capital,si,no,
violenciapsicologica2025.txt,2025,violencia psicológica,@SEDATU_mx,"Dec 8, 2025",2025,2025,"#25N
Image
Square profile picture
SEDATU México
@SEDATU_mx
·
Dec 8, 2025
¿Sabías que 7 de cada 10 mujeres han enfrentado violencia psicológica, física, sexual o económica?",25n sedatu mexico dec 8 2025 sabias que 7 de cada 10 mujeres han enfrentado violencia psicologica fisica sexual o economica,estadistica,0.9,,,Nacional,no_detectado,si,no,
violenciapsicologica2025.txt,2025,violencia psicológica,,,2025,,"En los #16DíasDeActivismo contra la violencia de género realizamos charlas con personal del Ramo 15, para sensibilizar y prevenir sobre las diferentes manifestaciones de violencia",en los 16diasdeactivismo contra la violencia de genero realizamos charlas con personal del ramo 15 para sensibilizar y prevenir sobre las diferentes manifestaciones de violencia,institucional,0.8,,,Nacional,no_detectado,incierto,no,
violenciapsicologica2024.txt,2024,violencia psicológica,@UNAM_MX,"Nov 24, 2024",2024,2024,"UNAM
@UNAM_MX
·
Nov 24, 2024
La violencia psicológica, como el 'gaslighting', afecta a la mitad de las mujeres en México. En el marco del #25N 🟠, Día Internacional para la Eliminación de la Violencia contra las Mujeres, la #ExpertaUNAM Alba Luz Robles Mendoza resalta la importancia de las redes de apoyo.
Show more",unam nov 24 2024 la violencia psicologica como el gaslighting afecta a la mitad de las mujeres en mexico en el marco del 25n dia internacional para la eliminacion de la violencia contra las mujeres la expertaunam alba luz robles mendoza resalta la importancia de las redes de apoyo,estadistica,0.9,,,Nacional,no_detectado,si,no,
violenciapsicologica2024.txt,2024,violencia psicológica,@EjeCentral,"Dec 4, 2024",2024,2024,"EjeCentral
@EjeCentral
·
Dec 4, 2024
Erradicación de la violencia contra la mujer | El 70.1% de las #mujeres en #México ha sufrido violencia en algún ámbito a lo largo de su vida: la violencia psicológica (51.6%) y sexual (49.7%) son las más prevalentes https://ejecentral.com.mx/nuestro-eje/la-violencia-contra-las-mujeres-en-mexico-una-realidad-que-no-puede-ser-ignorada",ejecentral dec 4 2024 erradicacion de la violencia contra la mujer el 70 1 de las mujeres en mexico ha sufrido violencia en algun ambito a lo largo de su vida la violencia psicologica 51 6 y sexual 49 7 son las mas prevalentes,estadistica,0.9,,,Nacional,no_detectado,si,no,
violenciapsicologica2024.txt,2024,violencia psicológica,@meganoticiasQRO,"Nov 22, 2024",2024,2024,"Meganoticias QRO
@meganoticiasQRO
·
Nov 22, 2024
📢 #Denuncia | Lydia Cordero, coordinadora de la organización Casa Amiga en Ciudad Juárez, señaló que cada año atienden a unas 2,500 mujeres, de las cuales el 70% ha experimentado violencia psicológica",meganoticias qro nov 22 2024 denuncia lydia cordero coordinadora de la organizacion casa amiga en ciudad juarez senalo que cada ano atienden a unas 2 500 mujeres de las cuales el 70 ha experimentado violencia psicologica,estadistica,0.9,,,Nacional,no_detectado,si,no,
violenciapsicologica2024.txt,2024,violencia psicológica,,,2024,,"💻http://Meganoticias.mx
📲https://lc.cx/623vl9
Image",,otro,0.2,,,Nacional,no_detectado,incierto,si,texto_vacio_o_muy_corto
violenciapsicologica2024.txt,2024,violencia psicológica,@ciepmx,"Nov 25, 2024",2024,2024,"CIEP, A.C.
@ciepmx
·
Nov 25, 2024
Replying to 
@ciepmx
🏠 En México, 7 de cada 10 mujeres de 15 años y más han enfrentado al menos un acto de violencia a lo largo de su vida. La violencia más frecuente ocurre en el ámbito doméstico y de pareja:
🔶 51.6% de las mujeres ha enfrentado violencia psicológica.
🔶 49.7% ha sufrido violencia
Show more",ciep a c nov 25 2024 en mexico 7 de cada 10 mujeres de 15 anos y mas han enfrentado al menos un acto de violencia a lo largo de su vida la violencia mas frecuente ocurre en el ambito domestico y de pareja 51 6 de las mujeres ha enfrentado violencia psicologica 49 7 ha sufrido violencia,estadistica,0.9,,,Nacional,no_detectado,si,no,
violenciapsicologica2024.txt,2024,violencia psicológica,@Forbes_Mexico,"Nov 24, 2024",2024,2024,"Forbes México
@Forbes_Mexico
·
Nov 24, 2024
🗣️ Expertas destacan que la violencia psicológica es normalizada en México, afectando a más de la mitad de las mujeres.https://forbes.com.mx/expertas-alertan-sobre-los-efectos-devastadores-de-la-violencia-psicologica-en-mexico/",forbes mexico nov 24 2024 expertas destacan que la violencia psicologica es normalizada en mexico afectando a mas de la mitad de las mujeres,estadistica,0.9,,,Nacional,no_detectado,si,no,
violenciapsicologica2024.txt,2024,violencia psicológica,@Reporte_Indigo,"Mar 9, 2024",2024,2024,"Reporte Índigo
@Reporte_Indigo
·
Mar 9, 2024
🟣 En México hay mas de 22 millones de mujeres con discapacidad. 6 de cada 10 experimentan violencia psicológica, 5 de cada 10 violencia física y en menos medida económica. La mujeres con discapacidad marchan y existen.",reporte indigo mar 9 2024 en mexico hay mas de 22 millones de mujeres con discapacidad 6 de cada 10 experimentan violencia psicologica 5 de cada 10 violencia fisica y en menos medida economica la mujeres con discapacidad marchan y existen,estadistica,0.95,,,Nacional,no_detectado,si,no,
violenciapsicologica2024.txt,2024,violencia psicológica,@Univ_Edomex,"Nov 28, 2024",2024,2024,"El Universal Estado de México
@Univ_Edomex
·
Nov 28, 2024
8 de cada 10 mujeres en el #Edomex han sufrido violencia: Psicólogica, física, sexual o económica, esta realidad no puede ignorarse. 🛑 
https://eluniversaledomex.com.mx/seguridad/alarmante-8-de-cada-10-mujeres-en-edomex-han-sufrido-violencia/",el universal estado de mexico nov 28 2024 8 de cada 10 mujeres en el edomex han sufrido violencia psicologica fisica sexual o economica esta realidad no puede ignorarse,estadistica,0.9,estado de mexico,,Estado de México,estado,si,no,
violenciapsicologica2024.txt,2024,violencia psicológica,@Jobperiodista,"Nov 21, 2024",2024,2024,"Vanessa Job.
@Jobperiodista
·
Nov 21, 2024
En México, la mitad de las mujeres de 15 años en adelante ha vivido violencia psicológica.",vanessa job nov 21 2024 en mexico la mitad de las mujeres de 15 anos en adelante ha vivido violencia psicologica,otro,0.2,,,Nacional,no_detectado,si,no,
violenciapsicologica2024.txt,2024,violencia psicológica,@UNAM,,2024,,"Alba Luz Robles, de la FES Iztacala 
@UNAM
, explica manifestaciones de esta violencia y cómo se puede ayudar a alguien que la vive.",alba luz robles de la fes iztacala explica manifestaciones de esta violencia y como se puede ayudar a alguien que la vive,otro,0.2,,,Nacional,no_detectado,incierto,no,
