archivo_origen,codigo_indicador,nombre_indicador,categoria_indicador,ambito,agresor,periodo_medicion,poblacion_objetivo,entidad,anio,valor,unidad,fecha_referencia
data1.csv,ENDIREH_AYUDA_INSTITUCION_PAREJA_FS,Proporción de mujeres de 15 años y más que han sufrido violencia física y/o sexual por parte de su actual o última pareja y que han acudido al menos a una institución,busqueda_de_ayuda,pareja,pareja_actual_o_ultima,alguna_vez,mujeres de 15 años y más,Nuevo León,2006,49.99,porcentaje,2006-01-01
data1.csv,ENDIREH_AYUDA_INSTITUCION_PAREJA_FS,Proporción de mujeres de 15 años y más que han sufrido violencia física y/o sexual por parte de su actual o última pareja y que han acudido al menos a una institución,busqueda_de_ayuda,pareja,pareja_actual_o_ultima,alguna_vez,mujeres de 15 años y más,Oaxaca,2006,46.33,porcentaje,2006-01-01
data1.csv,ENDIREH_AYUDA_INSTITUCION_PAREJA_FS,Proporción de mujeres de 15 años y más que han sufrido violencia física y/o sexual por parte de su actual o última pareja y que han acudido al menos a una institución,busqueda_de_ayuda,pareja,pareja_actual_o_ultima,alguna_vez,mujeres de 15 años y más,Puebla,2006,54.28,porcentaje,2006-01-01
data1.csv,ENDIREH_AYUDA_INSTITUCION_PAREJA_FS,Proporción de mujeres de 15 años y más que han sufrido violencia física y/o sexual por parte de su actual o última pareja y que han acudido al menos a una institución,busqueda_de_ayuda,pareja,pareja_actual_o_ultima,alguna_vez,mujeres de 15 años y más,Querétaro,2006,50.36,porcentaje,2006-01-01
data1.csv,ENDIREH_AYUDA_INSTITUCION_PAREJA_FS,Proporción de mujeres de 15 años y más que han sufrido violencia física y/o sexual por parte de su actual o última pareja y que han acudido al menos a una institución,busqueda_de_ayuda,pareja,pareja_actual_o_ultima,alguna_vez,mujeres de 15 años y más,Quintana Roo,2006,52.2,porcentaje,2006-01-01
data1.csv,ENDIREH_AYUDA_INSTITUCION_PAREJA_FS,Proporción de mujeres de 15 años y más que han sufrido violencia física y/o sexual por parte de su actual o última pareja y que han acudido al menos a una institución,busqueda_de_ayuda,pareja,pareja_actual_o_ultima,alguna_vez,mujeres de 15 años y más,San Luis Potosí,2006,44.63,porcentaje,2006-01-01
data1.csv,ENDIREH_AYUDA_INSTITUCION_PAREJA_FS,Proporción de mujeres de 15 años y más que han sufrido violencia física y/o sexual por parte de su actual o última pareja y que han acudido al menos a una institución,busqueda_de_ayuda,pareja,pareja_actual_o_ultima,alguna_vez,mujeres de 15 años y más,Sinaloa,2006,44.14,porcentaje,2006-01-01
data1.csv,ENDIREH_AYUDA_INSTITUCION_PAREJA_FS,Proporción de mujeres de 15 años y más que han sufrido violencia física y/o sexual por parte de su actual o última pareja y que han acudido al menos a una institución,busqueda_de_ayuda,pareja,pareja_actual_o_ultima,alguna_vez,mujeres de 15 años y más,Sonora,2006,50.92,porcentaje,2006-01-01
data1.csv,ENDIREH_AYUDA_INSTITUCION_PAREJA_FS,Proporción de mujeres de 15 años y más que han sufrido violencia física y/o sexual por parte de su actual o última pareja y que han acudido al menos a una institución,busqueda_de_ayuda,pareja,pareja_actual_o_ultima,alguna_vez,mujeres de 15 años y más,Tabasco,2006,49.73,porcentaje,2006-01-01
data1.csv,ENDIREH_AYUDA_INSTITUCION_PAREJA_FS,Proporción de mujeres de 15 años y más que han sufrido violencia física y/o sexual por parte de su actual o última pareja y que han acudido al menos a una institución,busqueda_de_ayuda,pareja,pareja_actual_o_ultima,alguna_vez,mujeres de 15 años y más,Tamaulipas,2006,45.59,porcentaje,2006-01-01
data1.csv,ENDIREH_AYUDA_INSTITUCION_PAREJA_FS,Proporción de mujeres de 15 años y más que han sufrido violencia física y/o sexual por parte de su actual o última pareja y que han acudido al menos a una institución,busqueda_de_ayuda,pareja,pareja_actual_o_ultima,alguna_vez,mujeres de 15 años y más,Tlaxcala,2006,44.16,porcentaje,2006-01-01
data1.csv,ENDIREH_AYUDA_INSTITUCION_PAREJA_FS,Proporción de mujeres de 15 años y más que han sufrido violencia física y/o sexual por parte de su actual o última pareja y que han acudido al menos a una institución,busqueda_de_ayuda,pareja,pareja_actual_o_ultima,alguna_vez,mujeres de 15 años y más,Veracruz,2006,48.47,porcentaje,2006-01-01
data1.csv,ENDIREH_AYUDA_INSTITUCION_PAREJA_FS,Proporción de mujeres de 15 años y más que han sufrido violencia física y/o sexual por parte de su actual o última pareja y que han acudido al menos a una institución,busqueda_de_ayuda,pareja,pareja_actual_o_ultima,alguna_vez,mujeres de 15 años y más,Yucatán,2006,43.9,porcentaje,2006-01-01
